	1884
 地下溶洞	1
硬度	1
重庆市南岸区"	1
消费失衡	1
 近似计算法"	1
应用领域"	1
 干扰与误差	1
 城市仿真"	1
 九彩坪	1
 多源地学信息	1
孔隙水的体积模量	1
 裂谷作用	1
 区域面膨胀"	1
 政和石门"	1
沉放深度"	1
 三角形蚀坑	1
"吉林南部	1
 地层对比"	1
 环境变化	6
离子成矿说	1
地表形变	1
 地热水	1
 金富集"	1
"管桩	1
多尺度反演	1
 安西古沼泽	1
演化	4
"近海油气	1
下地壳熔融	1
 成藏作用	1
地层压力	3
 正构烷烃	2
古构造	1
OO4O	2
异戊二烯烷烃	1
"Piston-Cylinder	1
大地电磁测深"	1
 压桩阻力	1
 碱性侵入岩	1
 土压力不平衡	1
勘探开发"	1
 土工合成材料	2
英云闪长岩"	1
规范	2
 鄱阳湖南部沙山"	1
 镇江市"	2
 管理模型	1
"岩石物理学	2
 降水	5
逆冲-褶皱造山带	1
"水文地质参数	1
"结构性软土	1
"底栖生物	1
精炼铜"	1
 空间变化	1
供水方向"	1
"声波时差	1
"城镇化	1
"地壳变形	1
 高压水力喷射切割装置	1
 俯冲作用	1
 降雨试验	1
煤与瓦斯突出"	1
下游河道	1
标准曲线	1
 模糊相似度量测	1
变基性火山岩	1
吸附作用	1
东平湖"	2
"古气候	2
规划实施	1
去顶	1
赣江"	1
 大兴断层"	1
 总水资源	1
矿化集中区"	1
"盾构法	1
物性参数"	1
X型破裂"	1
滇西"	5
"南海北部	2
"近50a	1
地壳隆升	1
"金矿床	25
 结构性	5
 Anomocarella	1
 昆仑山南部"	1
"耕地质量	1
"常规测井	1
炮采放顶煤	1
有机工质朗肯循环"	1
碱性长石	1
"Dijstra算法	1
粉末样品压片	1
变沉积岩组	1
 地质调查"	1
叠加效应"	1
 沉积韵律	2
 污染途径	1
水口山-香花岭SN向构造	1
辽河坳陷	1
 庙岛海峡"	1
仿真模拟	2
"路域	1
治理"	6
 松潘-甘孜造山带"	1
应力缩聚	1
"范县地震	1
沉积物-水界面物质交换	1
后造山	2
"钢铁	1
 三轴试验	8
共同作用"	1
 自平衡静载荷试验"	1
新区开辟	1
过程与机理	1
采卤井	1
"强振幅地震	1
 喷流沉积型"	1
异常指标	1
 焦家金矿"	1
 莱芜市"	1
"CFG桩复合地基	2
 泡水软化"	1
区段频率	1
 采收率"	1
GAMIT	1
 分层分区开挖"	1
 南京地区土体"	1
"隧道掘进机	1
 荷载分担比	1
隐伏生长断层	1
 波及系数	1
 瞬态渗流	1
 储层参数"	1
岩相	3
"冻土	7
"钛氢化物	1
 模式识别字典	1
 充注	1
"高分辨率旋回地层	1
局部平面波	1
青州市"	1
"一次电位差	1
 疏干地下水	1
海南"	3
 黄海沿岸流	1
 绝对集约水平	1
碱化	1
 降落漏斗	1
"北冰洋	2
 三维地震资料	1
"可控震源	7
成因探讨	1
 矿产预测理论"	1
 第四纪"	1
尼勒克	1
 塑料布排水板	1
 随机场"	1
杂多群	1
成矿铀源"	1
 流体识别"	5
"构造样式	2
 构造预测	1
平衡温度	1
净第一性生产力	1
角色	1
"鸭绿江断裂	1
测井环境	1
 油气运移	8
 防治	2
SHRIMP锆石U-Pb年龄	2
复活分子	1
 准克拉通盆地"	1
 判别	2
锡矿山	1
"金矿带	1
"137Cs含量	1
圈层间物质与能量交换	1
 海滩侵蚀	1
竖向承载性状	1
 浮冰碎屑事件	1
金矿石	1
 找煤	1
 走滑	1
 三度积分法	1
 氢同位素	3
"路基	2
 锑元素富集带	1
 中国西部"	2
陕西马元"	1
"古元古代	2
治理恢复对策"	1
"周口店	1
 管片接头	1
深边部	1
伤害机理"	1
体积破碎	1
 粉土	3
"岩溶山区	1
电磁成像	1
国家土地利用规划法	1
聚集	3
岩石圈不连续	1
水力梯度	1
非等间距	1
 偏导数矩阵	1
 水循环"	1
分配特征"	1
"芙蓉锡矿田	1
"不整合面	1
 多接收电感耦合等离子体质谱	1
厄尔尼诺	2
经济分析	1
"路堤	2
工程地质	5
地震波场数值模拟	1
 阿山头组	1
容量法	1
 评价方法"	4
"多年冻土	10
 大柳行地区"	1
高显示水层	1
数据网站	1
东营凹陷"	4
圈闭/油藏类型和分布"	1
"三维声波方程	1
服务器/客户机"	1
 直线型面板	1
比表面积"	1
 小湾水电站"	1
环境剪应力	1
计算机理	1
 重要意义"	1
盖帽碳酸盐岩	1
 X-射线断层扫描系统"	1
元素浓度	1
 早期演化"	1
科学理念	1
 驱油效率"	3
火山岩类型	1
粉喷桩	1
桂东南地区"	1
崇义"	1
储层结构型式"	1
 线性加载"	1
 模糊逻辑	1
 岩石力学试验	1
"水资源可持续利用	1
 测井数据采集	1
 岩浆脱气	1
源区背景	1
"寒区路堑	1
 布桩方式	1
 白家海	1
"气相色谱仪	1
"自然资源	1
"形成演化机制	1
中泥盆世"	1
氧化和超顺磁效应"	1
 相模式"	1
坝基"	2
 轴向荷载	1
南海北部边缘	1
半透膜效应	1
三要素耦合控藏"	1
"首采区	1
"高分辨率层序地层学	6
 地史分布	1
"水泥改良土	1
火山岩储层	2
含水砂层"	1
面积-高程曲线	1
 十六烷基三甲基氯化铵	1
灰度共生矩阵	1
油藏控制因素"	1
软件设计	1
趋势预测	1
"机理分析	1
 可靠度计算"	1
 科学围垦	1
 轴向分带	2
四川盆地西部"	1
 算子分裂法	1
安福屯	1
 合成记录	1
"变形控制	1
中晚更新世	1
碱交代作用	2
鱼骨型	1
江西吉安"	1
"祁连盆地	1
 浙江诸暨"	1
造山类型"	1
 类型	5
伊犁盆地"	2
 断陷湖盆	1
"矿分解	1
 伸展与侵蚀	1
下地壳流动"	1
铜"	1
地震非均匀度	2
 间断面	1
组装	1
弛豫谱	1
重建	1
 长江贯通时限"	1
 连拱隧道"	1
 水泥浆	1
桩帽桩"	1
 断裂特征	1
反馈迭代法	1
 紫金山铜金矿床	1
小波和奇异谱分析"	1
年输沙量	1
 静校正	5
"多油层	1
 十红滩	1
预警"	1
泥岩裂缝	1
加固地基"	1
活体采样技术"	1
"凝灰岩	1
新近纪"	1
流纹岩	2
 PDC钻头	2
"软件构架	1
运移时间	1
 富集矿床	1
价格态势"	1
 城市扩展	1
 组合优化	1
分辨率	4
"高密度电阻率法	6
 修复策略"	1
 气体钻井	1
缓冲区"	1
煤质"	1
 生物古地理	1
 定量描述	1
开发前期	1
"森林沼泽区	1
多重铀源"	1
"古潜山油藏	1
"复杂地表区	2
 西昆仑"	2
 等效吸力"	1
"重晶石	1
复杂油气藏	1
"地脉动	1
化学助采	1
 微差爆破"	1
储集层流体	1
 岩样试验	1
 综合分类法"	1
"重力梯度测量	1
片麻岩	3
成都市"	1
 保障	1
伸展-减薄	1
"可控源音频大地电磁测深	1
 套管补中	1
差积曲线	1
"4	1
白云岩问题	1
"矿产资源开发	1
 寻找隐伏矿床	1
 裂隙随机网络	1
岩石地球化学特征	2
"甲烷水合物	1
信息扩散"	1
"B	1
"埋藏古木	1
"成烃	1
 特性"	2
"富集分离方法	1
 展望"	4
"染料废水	1
 伊犁盆地	1
结晶分异作用"	1
 冰川	2
"多环芳烃	1
地球化学填图	1
"含铜、碳、高硫金矿石	1
 防斜打直	1
 地质地化特征	1
 试验	4
 碱性环境"	1
"地球化学测井	1
玫瑰红酸钠	1
 嵌岩深度	1
CCD数据	1
"山西断陷带及五台山	1
"电气石	3
人工降雨	2
"表面波	1
 分区	4
热模拟	1
内外因素	1
 水平井	8
 控矿母岩	1
 成矿	1
"土地利用环境响应	1
 陆架	1
静校正模型"	1
 滑脱层	1
污染来源	1
"地质环境质量	2
难处理金矿	1
大变形	1
 丛式井	1
东胜铀矿	2
四川雷波"	1
氧碳稳定同位素	1
 质量检测	1
成本及效率"	1
 环境综合整治	1
土地增值	2
单斜辉石	4
热水沉积	2
压缩存储	1
波数"	1
 有效性	2
"寒武纪	2
"水分盐分迁移	1
碗窑沟断层"	1
"华熊地块	1
 纵波速度	1
 AVA技术	1
"西斜坡区	3
温泉	1
水化学特征	1
 泥浆漏失	1
"古滑坡	1
离子探针	1
海拔梯度分布"	1
渗漏	3
季风	1
快速判定	1
 蜥蜴类	1
 西西伯利亚盆地	1
 长2油层组	2
 密度测井	1
抗菌性能	2
"西藏南部	1
 月亮赤纬最大年	1
 微电极	1
生态完整性	1
 资源	3
 加里东褶皱带	1
 浮选"	3
 挖潜"	1
 粘土	4
基性岩墙群	3
流体-岩石相互作用"	1
阿希金矿床	1
多尺度	1
吉林"	1
"第四系含水层	1
烃源岩评价	2
广西东攀剖面"	1
 土压平衡盾构机	1
 临界高度"	1
皖赣相邻区"	1
 肃北县"	1
巷道稳定"	1
张量格林函数	1
"地下水质	2
"多折面建基面	1
体系"	1
 分叉	2
验封	1
 圆形地下连续墙	1
古地磁年代学	1
 度量张量	1
弹性波动方程	1
颅骨	1
"昭苏盆地	1
"陕南汉中地区	1
 钻井成本	1
水土流失	29
"断层封闭性	2
残留量	1
 传感器	1
美国"	1
吐哈盆地	1
 信息系统"	2
 腮林忽洞群	1
溶蚀孔洞"	1
磁场	1
 人地关系	1
绕射波	1
主元素和微量元素	1
"有机-无机相互作用	1
 斑岩-夕卡岩复合型矿床	1
前兆异常	2
 图像分离	1
"投影寻踪自回归模型	1
破坏作用	1
 路堤	2
"因子叠加	1
 海岸演变	1
"强过铝花岗岩	1
奥陶纪—古近纪	1
 锶同位素	1
 南海北部"	3
 云南"	8
 鹅湖金矿化集中区	1
 悬沙浓度"	1
形成机理	8
磷酸盐	1
和龙市东城区"	1
"裂隙构造	1
"油气成藏模式	1
工程地质特征	1
 叠层剪切变形模型箱	1
 热史模拟	1
 孔隙压力梯度"	1
坝体变形	1
 损伤扩展	1
 地震观测	1
"渗透性	1
权值	1
 蕴藏量	1
"铁陨石	1
"寒武系	3
活动态分析方法	1
管线探测	1
薄互层	1
"浅层土	1
 路基	5
井网部署	1
"姑山铁矿	1
"钒钛磁铁矿	1
 南海北部陆架"	1
分维数	1
 软基沉降	1
宣郎广地区"	1
微细浸染型金矿床	1
"提取模型	1
贵州丹寨"	1
"俯冲带	1
微观物理	1
 柔性桩	2
桩底后注浆	1
石油"	1
生命动力学"	1
SHRIMP U-Pb年龄	3
 红墩	1
"热带珊瑚	1
 成因模式"	2
新生代晚期	1
喀斯特石漠化	1
注采比	1
地壳流体和地幔流体	1
"天山	5
 膨润土泥浆	1
搬迁避险"	1
成果信息	1
"深层地下微生物	1
浓度场	1
切削齿	1
 融化	1
俯冲洋壳	1
"碧土洋盆	1
"东准噶尔	2
 10号断裂	1
"地层特征	1
渗流	3
 减薄机制	1
激光拉曼	1
 动态监测	2
"碎石桩	1
"盐渍化	2
 饱和状态	1
关键问题"	1
"沁水盆地	2
高压	10
形成"	1
 动强度	3
 纵向变形"	1
"牙齿	1
"武当群	1
 最佳支护时间"	1
"湿地保护	1
 土壤水分特征曲线	1
"蜂窝煤	1
"ICA(独立分量分析)	1
"Gasab区块	1
尿素	1
 弹性应变能"	1
"硫化氢H2S	1
电解法	1
晚石炭世-二叠纪	1
"矿井充水因素	1
改进	3
空间查询"	1
"腾格里沙漠	1
 红星地区	1
 土地盐碱化"	1
定向钻井"	1
"埃达克岩	5
前兆观测	1
 构造属性"	1
绿水管理	1
滑坡	36
评价原则	1
蛇绿岩	10
 管理	5
碳同位素异常	1
 断裂控矿作用	1
Rb/Sr比值	1
 桂东南"	1
加拿大马更些"	1
 充气	1
 金刚石钻头	1
英山东冲河"	1
"数据库	2
"土地征用	3
 找水	1
"Ferganoconcha	1
 巯基化壳聚糖	1
"边坡稳定性分析	1
"灰色预测	2
 新疆"	28
加里东皱褶带	1
变形体内部结构	1
钽"	1
误差函数	1
 旁压试验	1
综合时序值	1
大火成岩省	1
 地震波照明	1
"EH4电磁法	1
TG曲线	1
 陨击坑	1
岩性地层油气藏"	1
 振型	1
 点位误差	1
"渤海海域	1
"K0固结	1
"房山侵入岩体	1
 瓦斯爆炸	1
 本构参数"	1
玉龙-哈巴雪山断块	1
 水平支撑体系	1
 可钻级别	1
"复杂地质	1
 数据源"	1
致色机理	1
"大有孔虫	1
"银根盆地	2
含流体多孔弹性介质	1
 试验历程	1
"蜉蝣昆虫化石	1
 海底侵蚀	1
 巴东复杂斜坡系统	1
 侵入半径	2
改造	1
"同源岩浆岩套	1
生物膜法	1
降雨预警基准	1
"成气机制	1
 卷状矿体	1
"地质钻探	1
浅成低温金矿床	1
"云南大具盆地	1
 东亚冬季风	1
 LA-ICP-MS定年"	1
赋存状态	5
"碎石桩复合地基	1
 新近沉积"	1
抗剪强度"	2
 中浅层油藏	1
 分步限角叠加"	1
 痕量金"	1
IPCC第四次评估报告"	1
深部找矿	6
"有机酸溶蚀	1
热流"	1
 自然电位测井	1
形变异常"	1
大地热流正异常"	1
元素和同位素	1
油气聚集	6
 反应速率	1
 边坡锚固"	1
 综合评价	4
地幔隆起	1
机制	2
土地集约利用	1
Carlo反演"	1
 全局优化算法	1
 测量仪器	1
定量颗粒荧光（QGF）"	1
"微电阻率成像	1
"岩溶山地	1
地表沉降"	1
国家大剧院"	1
 成熟度	5
地质研究	1
地微生物	1
"呼和拗陷	1
"构造地貌	1
"土地覆盖/土地利用	2
"微生物	3
构造斜坡带	1
 渐进变形	1
 效果测度分析	1
 水平运动"	1
冰川堆积	1
系统响应分析	1
三维地质结构模型	1
岩石失稳	1
排烃机理	1
半熔融	1
SuperMap Objects	1
"砂土液化	5
 炸药震源	2
氨氮离子	1
数值频散"	1
"洛坝铅锌矿床	1
 沉降预测"	1
 UDDI"	1
 人工场激电	1
 微咸水和半咸水	1
城市规划区	1
岩浆侵入	2
"潮流沉积体系	1
扩底旋喷桩	1
能量叠加	1
垂向封闭性	1
 新疆西天山"	2
属性优化	1
"格萨拉	2
地球圈层"	1
 储层流体识别	1
 有限元数值模拟"	1
 前景展望"	1
"油气成藏动力学	1
盐酸	1
 位移特征	1
3D GIS	1
铅"	1
沉积"	3
"铁路	2
"土地产权	1
偏压隧道	1
风速	2
Q-F-L	1
四氯乙烯"	1
"土力学	1
"积分方程	1
 康西瓦断裂	1
低孔低渗储层"	1
哈得逊油田"	1
 轨道驱动	1
 铅锌	1
 三维连续介质有限元方法	1
广东省"	4
 咸水入侵	1
 混粒土	1
 工程岩体	2
GOI	1
 九江地震	1
"冈底斯	3
"岩石化学	1
裂谷盆地	3
"δ13C	1
次生灾害"	1
"普光气田	3
时窗	1
 倾角	1
"城市周边	1
调节带	3
"长三角地区	1
"经济分析法	1
 退化机制"	1
 清淤固堤	1
"传统剥谱技术	1
二叠/三叠纪界线	1
异常振幅	1
边值问题	1
偏振分析	1
"上古生界	1
岩爆	3
"排烃门限	1
瓦斯治理	1
 不整合构造	1
"泾阳地震	2
 空间统计学	1
"地质处置库	1
硫化物矿化体	1
"河台金矿床	1
源岩	1
 横波	3
"石盐子晶	1
"天然微地震	1
 可靠指标"	1
层间插入消减模型	1
 软化模量	1
 化学组成	1
"新疆北山南部地区	1
泵送低标号混凝土"	1
莱州湾"	1
西部	1
制作技术	1
 声波	1
湿度	1
"林周盆地	1
冰长石-方解石组合	1
须家河期	1
 贡献	1
"定向裂纹	1
SHRIMP锆石年龄"	1
山东招远"	1
电阻率仪	1
 裂变径迹	3
 倾覆	2
 地球转动惯量	1
 黄麦岭磷矿	1
 嵌岩桩	1
 塑性本构模型	1
风化带划分"	1
J2EE	1
昆北断裂带	1
Cauchy准则	2
 两墙合一的地下连续墙	1
砂岩型铀矿"	6
承载力"	7
"中国地质百慕大	1
减震爆破"	1
 粘塑	1
"碳酸钙	1
 土质岸坡	1
生烃母质结构	1
丝光沸石	1
MEMS	1
叠合单元"	1
 概率分析"	1
"δ18O	1
糜棱岩	6
 生烃作用	1
 矿井充水因素	1
 前馈神经网络	1
变异函数	1
全局最小走时	1
多参数曲线	1
太阳活动指数	1
"路基黄土	1
 晚新生代沉积	1
"植被	1
 多元逐步回归"	1
风沙灾害	1
"蒙甘青地区	1
"西洱河图	1
"天然大地电磁	1
"滑坡边界	1
 区域磁异常	1
 调查研究	2
"地倾斜	1
 复杂地表和地下地质条件	2
"三百山盆地	1
 岩土数值分析方法	1
H2S	1
 生产	1
辛安泉水质	1
灾害预测"	1
 起爆网路"	1
"砂砾石地基	1
 输沙量	1
喷流沉积	2
 锆石SHRIMPU-Pb年龄	1
 石制品	1
流变模式"	1
 滑坡特征	1
 蚀变信息	1
燕山期花岗岩	1
中生代侵入岩"	1
GPR	1
GPS	9
采空区	3
 自动拾取	1
反渗透"	1
 时间序列"	1
Cu	2
贴井壁声波测井	1
"临潼-长安断裂	1
导航	1
"沭河上游	1
"键合硅铝丝	1
网络	1
挤压变形	1
资源分布	1
有机包裹体	2
 叠加式样	1
Cd	3
神府东胜矿区"	1
 识别"	1
微体化石	1
 模糊模型评价"	1
广义屏传播算子	1
江南隆起	1
"模型试验	3
"构造裂隙水	1
"光谱相似尺度	2
多来源复合成矿	1
"孔隙结构	1
 跑马铅锌矿	2
应力体制"	1
 最危险非圆弧滑动面	1
安全政策"	1
 开发效果"	1
 中强地震	2
F3	1
 反射特征"	1
"超大圆环支撑基坑	1
接触交代矿床"	1
质量过程控制"	1
EL	1
台缘相区	1
"环渤海	2
定量关系"	1
处理法"	1
西昆仑-喀喇昆仑山地区"	1
 乌什凹陷	1
 高架保护"	1
双电层	1
变迁	1
 仿鸡血石	1
"流体速度	1
 冈底斯岩浆岩	1
 GPS水准	1
"MARC	1
 富锑块体	1
 东辛油田	1
新立油田"	1
土石坝	1
"错鄂	1
"本体论	1
"断层封堵性	1
Ge	1
孔隙	6
Ga	1
裂隙几何学参数	1
"断层岩	1
动力学机制"	1
钾玄质侵入岩	1
昼夜动态变化"	1
 分层注水	1
"污水灌溉	1
"交会图	1
"地震仪	1
 重磁异常	1
同步技术"	1
"成煤环境	1
 传播特性	1
变形模量	2
等效介质理论	1
预测方法	4
"钨锡多金属矿床	1
右行走滑	1
 惯性效应	1
波场分裂	1
效果分析	1
 共同作用"	2
偏心率长周期"	1
Day投影图"	1
砂体类型	1
 卫星数据	1
简单软流圈流动"	1
 动态断裂韧度	2
"气象类滑坡灾害	1
联机标引	1
"鄂尔多斯盆地北部	1
GIS/RS	1
磁铁矿	2
抗压强度	3
 校正"	1
"江苏及邻区	1
不混溶作用	1
 黏性边界"	1
 孔喉结构	1
 江汉叠合盆地及邻区	1
 找矿评价	1
 节水型社会"	1
"变形模量	1
桥梁基础"	1
 钻井液	4
"等间距	1
"永安镇断裂带	1
"参数优化	1
 原油裂解气	1
 油气田	1
"固、液、气相互作用	1
短期异常特征"	1
 几何因子"	1
渤南洼陷	1
伸展减薄	1
锑"	1
CA	1
 结构性参数"	1
 动应力集中系数"	1
"层析成像	1
 小西南岔铜金矿床"	2
"承压水	2
"地震	7
"跑马铅锌矿	1
政策调整"	1
表面改性	1
 构造几何学模式	1
 粘弹性形变"	1
下地壳拖曳力	1
 承载力特征值"	2
"青藏工程走廊	1
CT	1
"安徽芜湖石硊镇	1
风险分析	2
"瑞雷面波	1
"小波神经网络	1
T2截止值	1
弧火成岩	1
 测井响应特征	2
还原环境"	1
 内蒙古查布"	1
沉降中心	1
"沉积磷	1
 高陡构造"	1
CO	1
社会影响评价	1
 判别分析"	1
矿物	4
标准剖面	1
"小流域	3
"结构面间距	1
 冻土墙	1
模糊数学理论	1
"东营凹陷	22
 理论研究	2
 表面微结构	1
"碳酸盐岩大油气田	1
潜力	1
崩岸	1
 夏甸金矿床"	1
IDL	1
新疆哈密"	1
应力敏感"	1
 古气候	13
同沉积断层	1
江苏金坛"	1
青海油田	1
"耕地面积变化	1
 水泥土搅拌桩法	1
7.0级大地震"	1
 压裂液"	1
"大直径超长桩	1
磁暴二倍法	1
酸性溶液	1
破坏形式	1
古湖泊学	1
16S rDNA基因	1
弹塑性有限元	1
时空变异	1
 水力结构	1
 赤道西太平洋暖池"	1
三叠纪—侏罗纪	1
 环板逆作	1
"塔北古隆起	1
地震合成记录	1
释放	2
Nd	1
珠穆朗玛峰地区	1
 逆冲推覆构造	2
土壤和水系沉积物	1
"环境地质调查	1
"显微构造	1
地震灾害	4
 白云化作用	1
"基坑边坡	1
型架稳定	1
 工程地质性质	1
阿尔泰造山带南缘"	1
 测井曲线	3
南盘江盆地"	3
愈合作用	1
Shuey公式	1
"桩基处理	1
 红粘土"	1
锌"	2
岩性各向异性"	1
 成藏	1
 磁性地层	4
 井位部署	1
高寒草甸	1
阳新统	1
钻进技术"	1
"侧钻水平井	1
区域性分布"	1
BP神经网络分类	1
"超压油藏	1
扬子克拉通"	1
 重晶石	1
"重力变化	1
色度	1
矿物多型"	1
平滑滤波	2
控陷断层	1
区间产流"	1
 构造附加压力	1
白垩系	7
 总排泄量"	1
自燃倾向性"	1
"盐碱土	1
 海洋表层沉积物	1
IR	1
IAB	1
"黄河源区	6
 生态环境现状	1
 地质数据库"	1
群速度	4
"地震活动增强	1
"西西伯利亚	2
溶蚀量	1
 中国北方"	1
研究综述	1
"山顶洞人	1
 横观各向同性体"	1
 效果"	4
形态特征	1
"合武铁路	1
"管道沉降监测	1
地震活动过程	1
 红山	1
 管理模式	1
长隧洞工程	1
 找矿	2
精细振幅补偿	1
 气候恶化"	1
Nd、Sr、Pb同位素	1
 地震剪应力时程	1
"热河生物群	1
高精度地球物理方法与技术"	1
Moho面	1
驱动因素"	1
"甲烷厌氧氧化	1
卓越频率	1
 构造意义	1
 检波器耦合	1
热力学模型	1
重要值"	1
 三维数值模拟"	1
"天然气水合物	28
 恢复"	2
 生烃潜力	1
山前逆断层	1
模拟退火波阻抗反演技术	1
光学性质	1
岩性-构造油藏	1
金湖凹陷"	1
形成期次	2
自溶	2
1.4Ga	1
 开原岩群	1
 模糊聚类"	1
各向异性扩散	1
在线分析"	1
 离散记忆	1
川青地块	1
"连续刚构桥	1
水位变动	1
 煤成气藏	1
包裹体相	1
潜伏礁预测"	1
 预测方法	2
平均密度	1
"40~28kaB.P.	1
东胜铀矿"	1
 动力反应分析"	1
"歧口凹陷西斜坡	1
"粗糙集	3
深断裂带	1
 垦东地区"	1
VB	1
印支期侵入岩	1
板块汇聚与离散	1
"查干凹陷	1
洋壳消亡残片"	1
"岷县地震	1
"电阻率法	2
 密闭取心	2
 吸附模型	1
"徐家围子断陷	1
 无侧限瞬时抗压强度	1
岩石圈减薄"	3
"抗滑	1
步进电机"	1
 侏罗系	9
 不同计算方法	1
演化过程	2
"恐龙蛋化石	1
 岩溶水系	1
抗污染品种"	1
"F201断层	1
激光拉曼技术	1
古生代"	1
 热弹性模型	1
 结晶基底	2
铋矿物	1
 北山"	1
岩性激发技术	1
 CO2气	1
"硅化破碎蚀变岩型银矿床	1
小流域管理	1
 浪流联合作用	1
"冲积相粘性土	1
固体热载体	1
"影像融合	1
发震时间图像"	1
 长兴组	2
地热"	1
 干扰波去除"	1
"数字国土	2
太阳活动	1
 横向侧移"	1
 微型桩"	1
 新型逆作法	1
旅游产品	3
"海底斜坡	1
 插值	1
 水驱油实验	1
喜马拉雅期碰撞造山带	1
"复杂(混杂+复合)	1
传感器	2
藏南拆离系（STD）	1
光释光测年"	1
生态系统的重建	1
 断层封闭性	2
Logistic回归模型"	1
"铜陵	2
地壳速度结构"	1
 高压/超高压变质带	1
 年代地层学	1
破裂扩展"	1
 岩体结构	5
